# OWD receiver: Rx3-OWD  port=5003
[1781006002.094024] seq=731 owd=40.095 ms
[1781006002.114022] seq=732 owd=40.092 ms
[1781006002.153984] seq=734 owd=40.142 ms
[1781006002.193921] seq=736 owd=40.089 ms
[1781006002.213908] seq=737 owd=40.075 ms
[1781006002.233907] seq=738 owd=40.076 ms
[1781006002.274004] seq=740 owd=40.081 ms
[1781006002.333984] seq=743 owd=40.159 ms
[1781006002.353987] seq=744 owd=40.157 ms
[1781006002.453945] seq=749 owd=40.122 ms
[1781006002.474000] seq=750 owd=40.075 ms
[1781006002.494008] seq=751 owd=40.078 ms
[1781006002.514079] seq=752 owd=40.151 ms
[1781006002.554126] seq=754 owd=40.135 ms
[1781006002.574096] seq=755 owd=40.137 ms
[1781006002.614005] seq=757 owd=40.077 ms
[1781006002.654023] seq=759 owd=40.078 ms
[1781006002.693911] seq=761 owd=40.077 ms
[1781006002.734113] seq=763 owd=40.138 ms
[1781006002.774001] seq=765 owd=40.158 ms
[1781006002.813988] seq=767 owd=40.157 ms
[1781006002.833986] seq=768 owd=40.159 ms
[1781006002.873987] seq=770 owd=40.157 ms
[1781006002.893986] seq=771 owd=40.159 ms
[1781006002.933901] seq=773 owd=40.072 ms
[1781006002.974004] seq=775 owd=40.173 ms
[1781006003.014071] seq=777 owd=40.141 ms
[1781006003.034062] seq=778 owd=40.133 ms
[1781006003.074069] seq=780 owd=40.134 ms
[1781006003.094083] seq=781 owd=40.155 ms
[1781006003.194061] seq=786 owd=40.133 ms
[1781006003.234068] seq=788 owd=40.143 ms
[1781006003.254078] seq=789 owd=40.149 ms
[1781006003.274063] seq=790 owd=40.133 ms
[1781006003.294101] seq=791 owd=40.172 ms
[1781006003.314071] seq=792 owd=40.077 ms
[1781006003.374083] seq=795 owd=40.156 ms
[1781006003.394083] seq=796 owd=40.156 ms
[1781006003.474008] seq=800 owd=40.174 ms
[1781006003.514025] seq=802 owd=40.096 ms
[1781006003.694058] seq=811 owd=40.156 ms
[1781006003.714015] seq=812 owd=40.084 ms
[1781006003.733964] seq=813 owd=40.059 ms
[1781006003.754038] seq=814 owd=40.080 ms
[1781006003.774007] seq=815 owd=40.078 ms
[1781006003.794002] seq=816 owd=40.074 ms
[1781006003.813996] seq=817 owd=40.070 ms
[1781006003.834011] seq=818 owd=40.084 ms
[1781006003.854065] seq=819 owd=40.134 ms
[1781006003.874092] seq=820 owd=40.137 ms
[1781006003.914029] seq=822 owd=40.099 ms
[1781006003.974049] seq=825 owd=40.071 ms
[1781006004.013994] seq=827 owd=40.088 ms
[1781006004.134090] seq=833 owd=40.161 ms
[1781006004.214008] seq=837 owd=40.077 ms
[1781006004.234026] seq=838 owd=40.097 ms
[1781006004.254050] seq=839 owd=40.076 ms
[1781006004.294003] seq=841 owd=40.077 ms
[1781006004.314023] seq=842 owd=40.093 ms
[1781006004.354006] seq=844 owd=40.077 ms
[1781006004.373912] seq=845 owd=40.075 ms
[1781006004.414005] seq=847 owd=40.076 ms
[1781006004.494047] seq=851 owd=40.118 ms
[1781006004.554020] seq=854 owd=40.091 ms
[1781006004.594066] seq=856 owd=40.091 ms
[1781006004.694054] seq=861 owd=40.115 ms
[1781006004.714126] seq=862 owd=40.185 ms
[1781006004.734134] seq=863 owd=40.096 ms
